0950B41C	California Agriculture
03F46318	Rivista Italiana Delle Sostanze Grasse
03F86CA7	Social Work With Groups
0405E6B2	Diabetes Technology & Therapeutics
0407890F	Progress in Inorganic Chemistry
040F8553	Linux Journal
0411FC0D	World Journal of Biological Chemistry
04198830	Yearbook of Obstetrics, Gynecology and Women's Health
04242279	Clinics in Liver Disease
042A27C0	Journal of Architecture and Planning (transactions of Aij)
042CED23	Lancet Neurology
042F42C0	Journal of Educational Change
04371237	Chaos Solitons & Fractals
04480849	Nexus Network Journal
044813A6	Population, English Version
045237E4	Journal of Electromagnetic Waves and Applications
046010A6	IEEE Design & Test of Computers
046900BB	Cea Critic
046F613C	Microscopy Today
04801D29	Indian Veterinary Journal
048899B6	Studies in Comparative International Development
048B8BE9	Iee Proceedings F Radar and Signal Processing
048D7B30	Comptes Rendus De L Academie Des Sciences Serie Ii Fascicule A-sciences De La Terre Et Des Planetes
049D245E	Journal for Nature Conservation
049D74B7	Ipsj Online Transactions
049E7843	Zeitschrift Fur Theologie Und Kirche
04A300A9	Coloproctology
04B1C846	Neues Jahrbuch Fur Mineralogie-monatshefte
04B2FDAA	Weed Science
04CC74DA	Loss Prevention Bulletin
04CCD81C	Practical Neurology
04D05F71	Journal of Mathematical Modelling and Algorithms
04DAE048	Annals of Agricultural and Environmental Medicine
04F2046E	Standort
04F79F3A	International Journal of Information System Modeling and Design
04F8ACF5	The Journal of American Culture
0529A1C6	Clinical Scholars Review
052DF8C1	Tree-ring Research
05381CE5	Injury Extra
0542B0DB	Journal of Central South University of Technology
05437BAC	Food Australia
054E63FF	Publicatio Uepg: Ciencias Humanas, Ciencias Sociais Aplicadas, Linguistica, Letras E Artes
055936E6	Parallel Algorithms and Applications
055DF8FB	Clinical and Diagnostic Virology
055EF34B	International Journal on Document Analysis and Recognition
056546F5	Journal of Light Metals
0567C2D2	European Journal of Palliative Care
058A2835	Chinese Journal of Integrative Medicine
058CB5B3	Ideas Y Valores
058E099A	Recent Patents on Materials Science
0593F64F	Computer Methods in The Geosciences
05990EB1	IEEE Transactions on Circuits and Systems Ii-express Briefs
059D8754	Middle East Critique
05A7517C	Singapore Medical Journal
05B3D0C4	Employment Relations Today
05C40B2D	Addiction Research
05C82814	Conservation
05D4D3BD	ACM Transactions on Internet Technology
05D9F66F	Pid - Psychotherapie Im Dialog
05DCA6D1	Mind & Society
05F3B6DE	International Archives of Medicine
05F54956	Journal of Earthquake Engineering
06066F07	Cahiers Du Monde Russe
06096337	American Journal of Neuroradiology
060A86AC	Acta Zoologica Cracoviensia
0623A2F2	Journal of Vegetation Science
06328231	Current Controlled Trials in Cardiovascular Medicine
063451CF	Fusion Science and Technology
063E9EA8	American Literary Realism
0642FCA3	Asian Journal of Womens Studies
064DF849	Onderwijs En Gezondheidszorg
06522146	Educational Media International
06598F78	Israel Affairs
06725E45	Journal of Quality Assurance in Hospitality & Tourism
06837504	Revstat-statistical Journal
0684896E	Indian Journal of Pure & Applied Physics
06871FEC	Micron and Microscopica Acta
06A81685	Technical Reports of The Australian Museum, Online
06AF24C5	Advanced Engineering Informatics
06B8BF8B	International Journal of Applied Electromagnetics and Mechanics
06BF0E4B	Scandinavian Studies
06CAE1A2	Reviews in Gynaecological and Perinatal Practice
06DA40D4	Trends in Neurosciences
06E3277C	Sexualities, Evolution & Gender
06EAAFD8	Biopsychosocial Medicine
06F8DDBD	Omics A Journal of Integrative Biology
06FC327A	Journal of Applied Meteorology
06FC8E7E	Journal of Behavioral Decision Making
06FDB1A9	Journal of Chinese Integrative Medicine
06FE8166	Arbitrium
070F735E	The Journal of The Marine Acoustics Society of Japan
0719DAB5	Statistics, Politics, and Policy
072143CC	Research and Practice in Technology Enhanced Learning
0721628B	Revista Da Sociedade Brasileira De Medicina Tropical
0730FC92	IEEE Transactions on Aerospace and Navigational Electronics
073DD5CA	Progress in Reaction Kinetics and Mechanism
0743ECFA	International Journal of Surgical Pathology
0750B8FC	Powder Technology
0751FA0F	Performance Research
075D599C	Zdm
07631A65	Bollettino Di Geofisica Teorica Ed Applicata
07703D85	Journal of Adhesive Dentistry
07745FAF	Swine Health and Production
077A0680	Cahiers De Biologie Marine
077C818F	Resources for American Literary Study
078F8FBC	International Journal of Systematic Theology
0797DF82	Arabian Journal for Science and Engineering
07AAD0E9	International Journal of Precision Technology
07AE6DEF	Recherches En Psychanalyse
07B328C8	International Forum on Information and Documentation
07B7D87C	Sports Medicine, Arthroscopy, Rehabilitation, Therapy & Technology
07BADCBA	Journal of Risk Research
07BCD800	Commonwealth Law Bulletin
07C03E40	International Journal of Precision Engineering and Manufacturing
07C3AF99	Korean Journal of Pathology
07C3C438	Process Control and Quality
07D8958F	Tourism
07D9AFA2	Artificial Satellites
07DAD4E9	Bulletin: Classe Des Sciences Mathematiques Et Natturalles
07E9A06E	Journal of Neuroscience Methods
07F7A54A	Journal of Applied Botany-angewandte Botanik
0804889E	Mouseion: Journal of The Classical Association of Canada
081419A7	The Journal of Environment & Development
081A81FD	Journal of The American Society for Information Science
081E3ACE	Advances in Nonlinear Optics
0822F7E5	Paragrana
0827C5D0	The Journal of Psychology and Financial Markets
0835601B	Evolutionary Ecology Research
08391FE7	Insect Molecular Biology
083B4DE0	Laser and Particle Beams
08448FA1	Annales Umcs, Chemistry
084C8901	Hong Kong Journal of Nephrology
08573FE5	The International Journal of Human Rights
0869272B	Micron
086F92FB	Iryo To Shakai
086FEC35	Journal of Islamic Marketing
0880D745	Electronics & Communication Engineering Journal
08838056	International Journal of Modern Physics C
08914E9F	Journal of Feminist Studies in Religion
08990790	Revista Portuguesa De Pneumologia
08AC4C44	Temenos
08AD4312	International Review of Financial Analysis
08AD4FFE	Transportation Research Record
08B16C29	Assistive Technology
08B2B726	Early Child Development and Care
08BE7E0E	Food Additives & Contaminants Part B-surveillance
08BE94AF	Paperi Ja Puu-paper and Timber
08C786F4	Indian Journal of Traditional Knowledge
08D7EAC6	International Journal of Selection and Assessment
08D955B4	Surgery for Cerebral Stroke
08E222EA	Records of The Australian Museum, Supplement
08E7FCF7	Cambrian Law Review
08EE291F	Journal of Human Virology
090C454A	International Journal of African Renaissance Studies - Multi-, Inter- and Transdisciplinarity
0910A927	International Journal of Actor-network Theory and Technological Innovation
092D7C9C	International Journal of Transport Economics
092EA3C8	International Journal of Computer Science and Information Technology
093431DB	Drug Discovery Today: Disease Models
093E3DF8	BMC Genetics
095A2C2D	Signal, Image and Video Processing
09704700	Korean Journal of Ophthalmology
0975AB94	New Ideas in Psychology
097F2875	Dialog-a Journal of Theology
098AC49E	Naval Research Logistics Quarterly
09960B06	Critical Care Nurse
099B118C	Positivity
09A08B9A	Journal of Computer Science and Technology
09A33C11	Journal of Legal Studies Education
09B26692	Aegean Review of The Law of The Sea and Maritime Law
09BB5996	Medico-legal Journal
09C44FDC	Taxon
09CB4153	Cattech
09CF6BC6	Ornitologia Neotropical
09D2DC8B	Atlas - News Supplement To Earth-science Reviews
09D99195	Byzantine and Modern Greek Studies
09DBA7FA	Endocrine Practice
09E001D0	Annual Review of Phytopathology
09FABD22	Journal of Agricultural Sciences
09FF0B66	Actas Espanolas De Psiquiatria
0A029F63	Vivarium-an International Journal for The Philosophy and Intellectual Lifeof The Middle Ages and Renaissance
0A03280D	Biosecurity and Bioterrorism-biodefense Strategy Practice and Science
0A1E347D	Korean Journal of Metals and Materials
0A21BD95	Revista Del Clad Reforma Y Democracia
0A255B55	Expert Review of Clinical Immunology
0A2EC8C7	Russian Microelectronics
0A34A6DC	Progress in Crystal Growth and Characterization
0A3D0894	Cancer Radiotherapie
0A483401	Revista De Estudios Sociales
0A58C5A3	Family and Consumer Sciences Research Journal
0A688EF5	Scientific Drilling
0A6A7AE7	Global Jurist Topics
0A6A8422	Law, Probability and Risk
0A7CD1D2	American J. of Finance and Accounting
0A88CFDB	Journal of Behavioral Health Services & Research
0A8927B3	International Journal of Trauma Nursing
0A947588	Petroleum Science
0A967AF7	Srx Agriculture
0A9FDADC	Iee Journal on Solidstate and Electron Devices
0AD3121A	J3ea
0AD64680	Turkish Journal of Pathology
0AD9B007	Academic Radiology
0ADDAF23	Journal of Endourology
0ADF3D3A	Tobacco Induced Diseases
0AE7939E	Acta Haematologica
0AEFC47C	The Open Neuroscience Journal
0AFCC626	Biofizika
0B074D00	Journal of The Professional Association for Cactus Development
0B085087	Geotectonics
0B0A84FD	Journal of Acupuncture and Tuina Science
0B2476E7	Journal of The American Pharmaceutical Association
0B2DB471	The Foot
0B3BDB37	Interpretation-a Journal of Bible and Theology
0B3D060E	ACM Sigapp Applied Computing Review
0B4256E4	Nursing and Health Care Perspectives
0B44CED8	Journal of Tribology-transactions of The Asme
0B4C1CD8	Journal of The Korean Society for Aeronautical & Space Sciences
0B50EA9D	Ciencia Florestal
0B5F30AC	Symmetry
0B6407BC	Proyecciones (antofagasta)
0B728ECA	Journal of The American Society of Brewing Chemists
0B88E2F5	Journal De Chirurgie
0B908C04	Journal of The Korean Institute of Electrical and Electronic Material Engineers
0B944626	El Mensajero
0B988C45	Vital
0BABB528	Bulletin of The Belgian Mathematical Society-simon Stevin
0BB199C5	Acta Linguistica Hafniensia
0BBA59AF	International Journal of Educational Management
0BBC6434	Cineforum
0BC2F3E2	Bioorganicheskaya Khimiya
0BC67712	Journal of Child and Adolescent Psychiatric Nursing
0BE3ABDF	Plasma Science & Technology
0BF3E823	Astronomy Quarterly
0BF5CE50	International Journal of Odonatology
0BFE1CC8	Ire Transactions on Space Electronics and Telemetry
0BFFCB31	Legume Research
0C13B562	Archival Science
0C1C7FF0	Breast Cancer Online
0C1F16E6	Bulletin of Indonesian Economic Studies
0C24D77D	Suvremena Psihologija
0C3DC5FD	International Journal of Information Technology
0C44C6DA	Asia Pacific Law Review
0C459305	Colloquia Germanica
0C5A1971	Chemical Journal of Chinese Universities-chinese
0C608744	Electronic Systems News
0C625855	Prevention and Control
35CEE188	The Electronic Library
37D87132	Milton Studies
3869C18F	Gineco Ro
389DF82E	Revista Brasileira De Ornitologia
38CA0AC9	Postepy Biologii Komorki
39411437	World Banking Abstracts
3A70CA5D	Sajog-south African Journal of Obstetrics and Gynaecology
3AA6CA6F	Mergent's Dividend Achievers
3CFF8FA8	Africa Specialty Group
3DF12CB3	Civil Szemle
3DF3A372	Bauregelliste A, Bauregelliste B Und Liste C
01BE36AA	The Scientific World Journal
3D4AE061	The Journal of Commerce
3C7939E9	Sirena
0049166D	Contemporary Sociology
04BD60DB	International Affairs
001E97FA	PLOS Pathogens
0A1F26F4	AAOHN Journal
0B6F7170	ACS Medicinal Chemistry Letters
042EF395	Journal of Medical Ethics
0B75E22E	Industrial and Labor Relations Review
0C438FB8	Tetrahedron
098824C7	Mankind Quarterly
0BA7E819	Human Communication Research
062A302D	International Journal of Obesity
0B8B8BD3	Professional Psychology: Research and Practice
07AACFCD	Pacing and Clinical Electrophysiology
0447FD9D	Religion
02A934C1	The Computer Journal
3810343C	Bellevue Literary Review
3BE409FE	The Annual Register
09FE59B9	Pediatric Research
3B5734A6	The American Review: A Whig Journal
04CDBA0C	Journal of Climate
05822DC7	Contemporary European History
0A6B8141	Aviation, Space, and Environmental Medicine
0A7651C3	Grey Room
0A694AA6	Aging Cell
027B8841	The Journal of Philosophy
0A1DD5E5	American Journal of Legal History
0413D77E	Social Theory and Practice
0BC0EA36	Utilitas
00B3C4B1	Plant and Soil
05022A2E	Studies in Second Language Acquisition
0B92BC3F	International Journal of Nephrology and Renovascular Disease
085CD88F	Bulletin of the American Meteorological Society
034AE2BC	Journal of Purchasing and Supply Management
082A2FFB	Archive for Rational Mechanics and Analysis
04945FB4	Tropical Grasslands
063F96FA	FEBS Letters
0B0C9686	Written Communication
019D0A99	Canadian Journal of Human Sexuality
0AEA35F8	Journal of Research in Special Educational Needs
0353D8DC	Mathematics of Operations Research
05533581	Journal of Cerebral Blood Flow and Metabolism
09CFE0BB	Technical Communication Quarterly
04A719E5	Mitochondrial DNA
0C1A11AA	Physiological Reviews
04CFD71C	Nanomedicine: Nanotechnology, Biology and Medicine
08B00DEE	Theology Digest
064E40A2	Molecular Diversity
022CAD5C	Religion and American Culture
01CBA163	Neuroscience
02C94A20	Contexts
03B7C473	Governance
0A8C68C1	The German Quarterly
0A07B53B	Epistemologia
07A50573	Ambix
00527A05	Autonomous Agents and Multi-Agent Systems
055DC873	The Emily Dickinson Journal
061074C9	Surveyor magazine
085345DF	Vascular Medicine
02659922	Annals of Probability
011826DA	Parallel Processing Letters
04D87CFD	The Delaware Journal of Corporate Law
0B679081	Indian Journal of Ophthalmology
0691B792	Journal of Petrology
04307CA1	Steroids
0892B53D	Journal of Cardiovascular Electrophysiology
09627042	Millennium: Journal of International Studies
008B8B2F	Cell Communication and Adhesion
08CD98D7	Philosophy of Science
02748739	Canadian Journal of Philosophy
061C899F	Oral Tradition
39257D41	Tulane Studies in Philosophy
06CDA847	Early Childhood Research Quarterly
0ACFC431	International Journal of Innovation Management
079BC67E	WORD
0847C624	Idealistic Studies
0089D866	Literacy
06112A95	Papers in Regional Science
3D98D999	Proceedings of A. Razmadze Mathematical Institute
000609BB	National Library of Wales Journal
0134F6E3	Journal of Commercial Biotechnology
0C11A435	German Studies Review
3AE5D23F	Philosophers' Imprint
076941A0	Public Law
057841CF	Briefings in Bioinformatics
06C668E1	Languages in Contrast
00797E39	Korean Journal of Anesthesiology
07A2E003	ORDO
03B3FB6B	Metaphilosophy
096B73AB	Molecular Brain Research
0B589ECE	Journal of the Anthropological Society of Oxford
3A4121D6	International Journal of Žižek Studies
038DDBF0	Journal of Research of the National Institute of Standards and Technology
04DAB717	International Journal of Wireless Information Networks
06BAE858	Journal of the Gay and Lesbian Medical Association
07F2B867	Indian Journal of Occupational and Environmental Medicine
09B403A8	European Review
002265B2	Annals of Botany
00A029EB	Journal of Communication Management
03411020	Montgomeryshire Collections
054D0B5E	The Review of Economic Studies
0B259A3B	Journal of European Social Policy
0A8E362F	Australian Journal of Management
09757954	Australian Mammalogy
0BBB5134	Asia-Pacific Journal of Chemical Engineering
05D6DF57	Arts and Humanities in Higher Education
37DB51C8	Archiv für Begriffsgeschichte
0008BE73	Facta Philosophica
0008F7AC	Trends in Microbiology
00295B5C	Helgoland Marine Research
002DE023	Clean Air: International Journal on Energy for A Clean Environment
004C79C1	Bulletin of Electrochemistry
004E66DF	Journal of Government Information
0057F319	Mouvements
005A725D	Compel-the International Journal for Computation and Mathematics in Electrical and Electronic Engineering
005BC69F	International Journal of Insect Morphology & Embryology
005CEA56	New Directions for Student Services
005FE696	Obstetric Medicine
00663D99	The Journal of The Kyushu Dental Society
006877E5	Energy and Buildings
006EFB00	Science in Context
00749165	Current Drug Targets - Cns & Neurological Disorders
00785A9C	Veterinary Economics
00808BA5	International Journal of Intellectual Property Management
00826F27	Journal of Functional Foods
008A6725	Nano-micro Letters
008FFB20	Long Range Planning
00BC91A0	Journal of Nanjing Medical University
00CA415E	Ornis Fennica
00CB9A13	Journal of Safog With Dvd
00D65433	Biological Agriculture & Horticulture
00DCC672	Journal of Agricultural Economics
00E59856	Minimally Invasive Surgery
00ECAD64	Journal of Applied Sport Psychology
00ED6F4A	Modernist Cultures
00F31CB5	Diabetes Spectrum
010F42D8	Physica Status Solidi (a)
0135A4B3	Revista Iberoamericana
014EE5CB	Annales De L Institut Henri Poincare-physique Theorique
017A9B29	The Princeton Seminary Bulletin
018E7782	Post-medieval Archaeology
01918212	Journal of Supreme Court History
0195DDC4	Economia Politica
0196CC17	Chinese Journal of Cancer Research
0198094F	Journal of Japan Society for Head and Neck Surgery
0199021B	Zdravstveno Varstvo
01A25D33	Logique Et Analyse
01A29289	Interactions: Studies in Communication & Culture
01AB2DBC	Filaria Journal
01BA7424	Geographie Physique Et Quaternaire
01CCDEED	Onkologie
01DBCC1B	Accounting in Europe
01E7024E	Perspectives on Speech Science and Orofacial Disorders
01E8A6A2	Communication Et Langages
01F36449	Chemoecology
01F41F83	International Journal of Energy Research
02066B1A	European Journal of Jewish Studies
02129BB5	Philippine Scientific Journal
022D1C35	Plant Biotechnology Journal
022DDD49	International Journal for The Study of The Christian Church
02312F78	Progress in Neuro-psychopharmacology
0234701A	The Open Information Systems Journal
023FD726	Knowledge and Process Management
0253ADA5	Kasmera
0272192C	Marine and Freshwater Research
0276690F	Catheterization and Cardiovascular Interventions
029BC403	Review of Palaeobotany and Palynology
02C3D57D	Bulletin of The Geological Society of Denmark
02E3F0CB	Review of Sociology
02F33AE6	Canadian Public Policy-analyse De Politiques
02F77176	Ecohydrology and Hydrobiology
02F7AFFA	Norsk Geologisk Tidsskrift
02FD8716	Express Polymer Letters
0305A899	Estudos Ibero-americanos
031EFFD8	Composite Structures
032103E5	Update on Cancer Therapeutics
03224018	Max Planck Yearbook of United Nations Law
0336F05E	International Journal of Data Warehousing and Mining
03460C4F	Artforum International
035111C0	International Hydrographic Review
0356B0B6	The Italianist
036DB907	Australian Economic Papers
03757E6C	IEEE Transactions on Industrial Electronics
0378531F	Nuclear Data Sheets. Section B
03839431	Leadership and Management in Engineering
038A6986	Letters on Evolutionary Behavioral Science
038B7F18	Digest Journal of Nanomaterials and Biostructures
039E810F	International Journal of Metrology and Quality Engineering
03AD994C	Information Technology and Control
03B31B0A	Journal of Entrepreneurship
03B3D752	Alternatives Journal
03B63EE8	Journal of Digital Imaging
03B6F61D	Audiology
03C1EA3B	Contemporary Clinical Trials
03C379F9	Research Journal of Poultry Sciences
03C8B951	Acta Zoologica Lituanica
03CA0455	International Public Management Journal
03E15D75	Journal of Sport & Tourism
03F0E3AD	Music, Sound, and The Moving Image
03FE044B	Latin American Music Review
0401E388	European Transactions on Electrical Power
041A13E1	Social Enterprise Journal
0440B050	International Journal of Granular Computing, Rough Sets and Intelligent Systems
0452B939	First World War Studies
04538D45	Behaviour Change
045F0BC9	Journal of Porous Media
046E993A	Grass and Forage Science
046F88DC	Research in Immunology
04785948	Historical Reflections-reflexions Historiques
047B1157	Progress in Histochemistry and Cytochemistry
049577F9	American Journal of Critical Care
04A17384	Revista Latinoamericana De Psicopatologia Fundamental
04A44392	Cellular and Molecular Bioengineering
04A8A0D5	Reviews in Endocrine & Metabolic Disorders
04B984BB	Journal of Inverse and Ill-posed Problems
04CA6FC8	Current Issues in Auditing
04CF81F1	Iryou Kikigaku (the Japanese Journal of Medical Instrumentation)
04D339CB	Family Practice News
04E036F9	Trauma Und Berufskrankheit
04E7EEA9	Global Change and Human Health
04F57D69	Journal of Ethnobiology and Ethnomedicine
04F5A23E	Current Oncology Reports
04F64F77	Diabetes-metabolism Research and Reviews
04FF93F2	Russian Journal of Coordination Chemistry
0508BE69	Surgery Journal
05259489	Annales Umcs, Mathematica
054391EF	BMC Clinical Pathology
0567841E	Annual Review of Psychology
05880579	Oecd Journal: Economic Studies
05DCC93F	Poetics
05E53147	European Journal of Plastic Surgery
05F03FB4	Journal of The Warburg and Courtauld Institutes
05FE26D8	Acta Physica Hungarica A) Heavy Ion Physics
05FE5DB9	Tuberculin Skin Test in Children
05FE874B	Environmental Sciences Europe
060AFF0D	The Journal of Drug Evaluation
060F5E6E	International Journal of Emerging Technologies in Learning
06181087	Clinical Neuroscience
06181CBE	Brain Behavior and Immunity
06191E71	Library & Archival Security
06245FBE	Optimization Methods & Software
06289060	European Journal of Operational Research
06340B5E	IEEE Transactions on Electronics Packaging Manufacturing
06397DD2	The Open Tissue Engineering and Regenerative Medicine Journal
064253DE	Comparative and Continental Philosophy
0649D45C	Yakugaku Zasshi-journal of The Pharmaceutical Society of Japan
0657803C	Journal of Plant Protection Research
065917D5	Bulletin of Environmental Contamination and Toxicology
0660C14F	Journal of Emergency Management
066BE57A	Journal of Modern Craft
0677BE09	Journal of Thrombosis and Thrombolysis
06863C1B	International Journal of Service Industry Management
06A0FB08	Journal of Gynecologic Oncology
06A7BDB8	Social Policy and Society
06B37536	Journal of Human Security
06C98F86	Annals of Intensive Care
06D2D362	Journal of Computer Assisted Tomography
06E7687C	Avian and Poultry Biology Reviews
06EE610A	Endangered Species Research
06F0D4E4	Quarterly of Applied Mathematics
06F2F284	Allergology International
06F3999A	in Vitro & Molecular Toxicology-a Journal of Basic and Applied Research
0705A682	Medieval Archaeology
070FDED7	Current Drug Targets - Immune, Endocrine & Metabolic Disorders
075CE10E	Proteome Science
0767329D	Desalination and Water Treatment
077DA6C0	Vierteljahrshefte Zur Wirtschaftsforschung
07988E09	Echocardiography-a Journal of Cardiovascular Ultrasound and Allied Techniques
079C9F67	Scandinavian Journal of Hospitality and Tourism
07AFE875	Research Quarterly for Exercise and Sport
07C2EB9D	Cancer Cell International
07CA5129	Technology Analysis & Strategic Management
07CDA4DA	Insect Biochemistry and Molecular Biology
07CF073F	International Journal in Computer Simulation
07D6B217	Random Operators and Stochastic Equations
07D9B804	Clinical Update
07E52267	Physics Procedia
07F19C09	Headache Currents
08075D5D	American Journal on Addictions
080ECCBB	Journal of Materials Science & Technology
0811F5DF	The International Journal of Management Education
0815956F	Applied Medical Informaticvs
082420F6	Journal of King Abdulaziz University-educational Sciences
08278571	Imago Mundi-the International Journal for The History of Cartography
08324809	Advances in Neuroimmunology
083CEA8D	International Journal of Osteoarchaeology
083DE7DC	Journal for The Theory of Social Behaviour
085B7015	Journal of Nuclear Science and Technology
08736B64	Journal of Infection and Chemotherapy
08829145	Pituitary
088C8647	Journal of Headache and Pain
089D8C0D	Scientific Modeling and Simulations
089E5BFA	Applied Mathematics and Mechanics-english Edition
08A046C1	B.a.b.p. Bulletin
08A4D79E	Environmental Modeling & Assessment
08AAC8B7	The Journal of Medical Humanities
08B62F28	Journal of Biochemical and Microbiological Technology and Engineering
08BC116A	Functional Neurology
08CB1724	Russian History-histoire Russe
08CC27CC	Journal of Infrastructure Development
08D5243D	Bollettino Di Storia Delle Scienze Matematiche
08D55E3F	Journal of Micro-nano Mechatronics
08D83D4F	Intensivmedizin Up2date
08E7429D	Corrosion
08E77F76	Fontes Artis Musicae
08F36457	Cancer Causes & Control
090039DB	Israel Journal of Veterinary Medicine
09044C62	Statistical Inference for Stochastic Processes
0907AF83	Electric Power Systems Research
090D01F1	American Journal of Pharmacology and Toxicology
091DE425	Annals of The Association of American Geographers
092022E5	International Journal of Antennas and Propagation
0923177A	Maritime Affairs: Journal of The National Maritime Foundation of India
09238ACB	Research on Managing Groups and Teams
095D9675	International Politics
096414BF	Journal of Fluency Disorders
09642D83	Agricultural Systems
096D9DE0	Welding International
096F7E2A	Technical Physics Letters
0982676E	Neurochemical Pathology
0983E1ED	Transportation Research Part A-policy and Practice
09846770	Clinics in Plastic Surgery
09A14B3B	Otjr-occupation Participation and Health
09A3D3DD	Seminars in Immunology
09C17514	Information Research
09C86521	Science News
09CD451C	International Journal of Asian Business and Information Management
09D022EE	Pmla-publications of The Modern Language Association of America
09D1E9A0	Journal of Chemical Research-s
09D320F1	Korean Journal of Defense Analysis
09DB4213	New Generation Computing
09E14ED2	Encephale-revue De Psychiatrie Clinique Biologique Et Therapeutique
09E7C675	Journal of Ethology
09EF9543	European Respiratory Monograph
09FCCC99	Electronic Journal of Biotechnology
0A04DC8F	International Journal of Cell Biology
0A08972A	Zeitgeschichte
0A122AD6	Iranian Journal of Science and Technology Transaction B-engineering
0A13ADAB	Journal of Bamboo and Rattan
0A164345	Ire Transactions on Broadcast and Television Receivers
0A21E2F4	BMC Palliative Care
0A24C656	Israel Journal of Earth Sciences
0A276E00	Proceedings of The Royal Society of London. Series B, Containing Papers of A Biological Character (1905-1934)
0A2E3D7E	Advances in Applied Microbiology
0A5E3F14	Ajs Review-the Journal of The Association for Jewish Studies
0A636EDB	Journal of Nanophotonics
0A65A484	Solar Cells
0A681A73	Expert Review of Dermatology
0A697BB7	Adicciones
0A6D8C90	Surgeon-journal of The Royal Colleges of Surgeons of Edinburgh and Ireland
0A8ED3C8	Oecd Journal: Competition Law and Policy
0AABD0D5	Cryptogamie Algologie
0AB2AC16	Journal of Literary Semantics
0AB3A913	Medical and Pediatric Oncology
0AB3F839	Frontiers of Earth Science in China
0AB52F8C	BMC Developmental Biology
0AD00417	Ice Proceedings
0AD79A83	Temps Modernes
0ADA8408	Journal of Polymer Science
0ADF45CD	Trends in Parasitology
0AE16312	Anthropos
0AE26C95	Journal of The Korean Society of Food Science and Nutrition
0AEACD65	Gruppendynamik Und Organisationsberatung
0AEBF9D4	Journal of Environmental Pathology Toxicology and Oncology
0AFCB52F	Studies in Spirituality
0B0084B3	Journal of Poverty
0B13E6D5	Current Opinion in Nephrology and Hypertension
0B16B74C	International Journal of Computer Games Technology
0B2042F0	Arbor-ciencia Pensamiento Y Cultura
0B2A4283	Journal of Applied Mathematics and Decision Sciences
0B322938	Annales De L'institut Pasteur. Virologie
0B3A7F5C	Current Opinion in Pulmonary Medicine
0B3C93EE	Annales De Pathologie
0B532473	Opuscula Mathematica
0B7C8E52	Antonie Van Leeuwenhoek International Journal of General and Molecular Microbiology
0B8A5D34	Pancreatology
0B9A98CB	Molecular Neurobiology
0B9E9699	Organisational Transformation and Social Change
0B9EB378	Metropolitan Museum Journal
0BAFDB5E	Chemistry and Technology of Fuels and Oils
0BBED50A	Korean Journal of Chemical Engineering
0BC1F78B	IEEE Transactions on Parts, Materials and Packaging
0BC42045	Journal of Field Ornithology
0BDFA5D2	Journal of Rural Medicine
0BE788F7	North American Fungi
0BFB6B7C	Journal of The Food Hygienic Society of Japan (shokuhin Eiseigaku Zasshi)
0C00EFAC	Rofo-fortschritte Auf Dem Gebiet Der Rontgenstrahlen Und Der Bildgebenden Verfahren
0C0AD596	Acta Otorhinolaryngologica Italica
0C0C4EAA	Dental Materials Journal
0C21EBD7	Discrete Optimization
0C37510B	Journal of Aerospace Computing Information and Communication
0C3B8C10	Journal of Engineering Technology
0C4C144B	Journal of Cultural Economy
0C526253	Archives of Andrology
0C6735F9	Current Treatment Options in Oncology
38308812	Daphnis-zeitschrift Fur Mittlere Deutsche Literatur
383F13BD	Journal of The Chartered Institution of Water and Environmental Management
387B802B	Animus
387E7FC0	Current Allergy & Clinical Immunology
39323178	Board & Administrator for Administrators Only
393852DF	Literature & History-third Series
398F2496	Publishing History
3A2AA100	Evidence-based Spine Surgery
3A9A724E	Acta Geotechnica Slovenica
3AC26D1F	Minnesota Symposia on Child Psychology
3AE01916	Journal of Economics Theory
3B04DFC8	Correspondances En Metabolismes Hormones Diabetes Et Nutrition
3B280CFA	ff - Südtiroler Wochenmagazin
3B817123	Global Telecoms Business
3B8825CD	Posledniya Izvestia
3BEA5A7A	Neurologia Croatica
3C1EDC88	Hormones-international Journal of Endocrinology and Metabolism
3C2AA801	Annales-anali Za Istrske in Mediteranske Studije-series Historia Et Sociologia
3CA034DF	Cinema: Journal of Philosophy and the Moving Image
3D72DEB5	Mental Health Weekly
3D823CEF	Studies in Canadian Literature-etudes En Litterature Canadienne
3DB85858	Chemical Innovation
3E2D115D	Euphorion-zeitschrift Fur Literaturgeschichte
0640F402	New Scientist
061E5FF5	The Hedgehog Review
00023BA8	Journal of Marriage and Family
00319E3A	Gut
00A164D8	Integrative Biology
07684C2F	Journal of Antimicrobial Chemotherapy
3DA3E155	The Sewanee Review
0AEF59B3	Iowa Law Review
093EDF92	Bioconjugate Chemistry
0AB4E419	Middle East Quarterly
0C394A7A	Administrative Law Review
093BA7F5	American Journal of Sports Medicine
083C4E3C	Journal of Evolutionary Biology
06F6C705	Lab on a Chip
3B5C807B	The Blind Man
02DA3DCB	Sylwan
0C032814	Applied Economics
08311617	Mechanisms of Development
008AC400	Brain Pathology
38E3C3CB	The Journal of Medical Practice Management
007E1F1E	Biometrics
0A02E269	Journal of Statistical Software
0358F6F9	Geology
04586895	Journal of Wildlife Management
0590EB9E	Willamette Law Review
005DCCDB	Virology
032B317E	Journal of the American Ceramic Society
